sno,project_id,ro_pd_name,project_name,project_number,land_required_ha,land_available_ha,land_to_be_acquired_ha,url
1,18048,(RO Jaipur),"Building (widening / Two Laning with Paved Shoulder , etc.), maintenance, management and operation of the National Highway No.927A in the State of Rajasthan.",,1300,0,1300,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=18048
2,22059,RO Shimla,Land Acquisition estimate for Theog by pass 2.317km length from 174/040 to 176/400 of NH-22 in the State of Himachal Pradesh.,,2.32,2,0.32,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=22059
3,24065,(RO Jaipur),Land Acquisition for construction of two laning with paved shoulder on national highway no.158 ( Ras-Beawar-Asind-Mandal Section) from Km 0.000 to 116.912 in the state of rajasthan,,3200,190,3010,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=24065
4,26080,RO Guwahati,2-laning with pavd shoulder of NH-108A from 0.000 to 21.412,,67.9,17.4,50.5,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=26080
5,28082,RO Bhubneswar,Widening to 2L+PS from Km 181.00 to 239.280 of NH-26 (Bhawanipatna to Koksara).,,16.9,0,16.9,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=28082
6,30088,RO Bhubneswar,Acquisition of land for construction of ROB cum bypass road for Titlagarh Town on NH-59,,115,0,115,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=30088
7,30090,RO Bhubneswar,Widening and strengthening of NH-57 from Km 0 to Km 45.750 ( Bolangir -Sonepur ) section in the state of Odisha.,,7.3,0,7.3,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=30090
8,34119,(RO Jaipur),"Upgradation (widening /Two-laning,etc), maintenance, management and operation of National Highways No.325 in the stretch of land from design chainage Km 16+200 to 157+183 ( existing chainage Km 16+200 to Km 164+031) in District Barmer, Jalore, Pali in the state of Rajasthan ( Package No. NHAI/IAHE/22)",,1500,100,1400,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=34119
9,36167,(RO Jaipur),"building (widening / two-laning, etc.), maintenance, management and operation of the National Highway No. 709E in the State of Rajasthan.",,190,100,90,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=36167
10,36172,(RO Jaipur),Construction of 2 lane with paved shoulder Northern Bypass Phase-II at Kota from Design chainage Km 0/0 (Km 178+300 of SH-33) to Km 12/725 (Km 236+800 of NH-52) comprising the section from Gamach Phatak to Ballop.,,68.43,0,68.43,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=36172
11,37174,RO Raipur,2-Lane ROB at L/C No. AB-27 on Manendragarh to Ambikapur Road of NH No.43 at Railway Chainage 937/14-15 on Ambikapur to Bishrampur Railway line near Belbahara (Chhattisgarh),,3.4,1.069,2.33,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=37174
12,37178,(RO Jaipur),construction of 2 lane with paved shoulder from km 0/00 to 87/200 of 248A (Sahapura - Alwar section) in the State of Rajasthan,,550,195,355,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=37178
13,38180,RO Patna,Construction of ROB and its approaches at LC No:- 65-B/2-E from Km 131 to 133 of NH-19,,6.063,3.133,2.93,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=38180
14,40216,(RO Jaipur),Acquisition of land in respect of bypass for Barmer city on NH-15 Jaisalmer-Barmer-Sanchore stretch in Km 144/500 to 160/700 in the state of Rajasthan,,300,0,300,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40216
15,40218,(RO Jaipur),Acquisition of land in respect of National Highway No. 11 from Km 0.000 ( Fathehpur) to Km 49.000 ( Jhunjhunu) in the state of Rajasthan.,,238,65.64,172.36,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40218
16,40238,RO Bhubneswar,Widening and strengthening of 2 lane to 2 lane carriage way with paved shoulder from 269/3 to 328/20 including Kuchinda bypass of NH-49.,,16.92,0,16.92,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40238
17,40239,(RO Chennai),Construction of Rameshwaram Bypass of NH-49,,8.597,0.749,7.848,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40239
18,40240,(RO Chennai),Construction of Thiruvaiyaru Bypass of NH-226 Extn in the state of Tamil Nadu,,42.3942,0,42.3942,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40240
19,40241,(RO Chennai),"construction of Atchampathu, Viratipathu Bypass of NH-49 Extn",,15.7774,0,15.7774,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40241
20,40242,(RO Chennai),Construction of ROB in lieu of existing level crossing No.17 at Km 22/2 (near Checkkanurani) of NH-49Extn (New NH No. 85) Madurai-Cochin Road in the district of Madurai in the state of Tamil Nadu,,2.515,0,2.515,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40242
21,40243,(RO Chennai),Construction of ROB in lieu of existing level crossing No.44 at Km 50/3 (near Usilampatti) of NH-49 Extn,,6.5944,0,6.5944,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40243
22,40244,(RO Chennai),Construction of ROB from km 75.228 to 76.273 in lieu of LC-68 (near Theni)on NH-49Extn in district of Theni in the State of TAMIL NADU,,1.214,0,1.214,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40244
23,40245,(RO Chennai),Construction of ROB in lieu of existing level crossing No.85 at Km 93/4 (near Bodi) of NH-49 Extn,,1.8,0,1.8,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=40245
24,42271,(RO Jaipur),Acquisition of land in respect of National Highway No. 168A in the state of Rajasthan on the stretch of Design chainage Km 0.000 to Km 11.800 (existing chainage Km 0.000 to Km 12.000),,100,50,50,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=42271
25,45302,(RO Dehradun),Reconstruction with geometric improvement of existing intermediate lane to 2 lane with paved shoulder configuration from Km 28.600 to Km 59.420 (Design Chainage 28.320 to Km 58.603) of NH 94 in the state of uttarakhand on EPC mode under improvement of NH connectivity of Char Dham.,,20,10,10,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=45302
26,46316,(RO Chennai),Construction of ROB in lieu of existing level crossing No. 503/SPL-A/3E (at Railway Km 662/800-900) at Km 99.40 (Near Tenkasi) of NH-208,,5.35,2.15,3.2,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=46316
27,47341,(RO Chennai),Construction of ROB in lieu of existing level crossing No. 86-A/3-E (at Railway Km 107.030) at Km 103.4 (near Ettivadi) of NH-234 in the district of TIRUVANNAMALAI in the state of TAMIL NADU,,15,8.8,6.2,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=47341
28,49361,(RO Chennai),Construction of ROB at Km 137.800 (near Uchipulli) in lieu of existing LC No. 518/SPL-A/3E at Railway Km 636.300 - 400 of NH-49,,7.12,6.44,0.68,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=49361
29,50372,RO Patna,Construction of ROB and its approaches in replacement of existing level crossing at Km 12 of NH 103 (Hajipur- Mushrigharari) in state of Bihar.,,10,1.917,8.083,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=50372
30,51379,RO Patna,Acquistion of land in respect of under construction of Ghorghat RCC H.L. Bridge and approach road ( towards Munger ) in km 94 of the National Highway No. 80 in Munger district of the state of Bihar .,,1,0,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51379
31,51412,(RO Chennai),Construction of Vellore and Gudiyatham bypass of NH-234 in the district of Vellore in the state of Tamil Nadu.,,265,0.87,264.13,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51412
32,51442,RO Patna,Construction of Bhagalpur Bypass from km 124.175 to 140.200 of NH 80 in the state of Bihar under EPC mode.,,2,0,2,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51442
33,51453,CE-NH (PWD) Punjab,Development to four lanes with paved shoulders of Jalandhar- Hoshiarpur section of NH-70 (New NH-03) from existing Km 11/400 to Km 49.200 including construction of Hoshiarpur Bypass in the State of Punjab,,152.12,136,16.12,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51453
34,51463,RO Bhubneswar,Widening and strengthening of 2 lane to two lane carriageway with paved shoulder from km 173/370 to 229/400,,14,0,14,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51463
35,51466,RO Patna,construction of 2-lane combined ROB IN KM 1.10& KM 1.11 On NH 101 at chapra railway crossing in the state of Bihar on EPC mode.,,7,3.804,3.196,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51466
36,51473,CE-NH (PWD) Madhya Pradesh,construction of major bridge & its approaches over river urmil at km188/4 on NH-86 sagar chhatarpur road in the state of madhya pradesh,,1.709,0,1.709,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51473
37,51474,CE-NH (PWD) Madhya Pradesh,construction of major bridge over dhasan river at km146/6-8 on NH-86ext. sanchi sagar road in the state of madhya pradesh,,1.89,0.97,0.92,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51474
38,51475,CE-NH (PWD) Madhya Pradesh,construction of Bada malhera bypass on NH-34 (old NH-86) sagar chhatarpur road in chhatarpur district in the state of madhya pradesh,,25.358,0,25.358,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51475
39,51476,CE-NH (PWD) Madhya Pradesh,widening of road to 2-lane with paved shoulder from km1 to km73/2 on NH-26A sagar -khurai -bina road in the state of madhya pradesh,,79.02,20.02,59,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51476
40,51479,CE-NH (PWD) Madhya Pradesh,Rehabilitation & upgradation to 2-lane with paved shoulder from km131 to km189/4 on NH-86 sagar chhatarpur road in the state of madhya pradesh,,103.32,90.531,12.789,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51479
41,51483,CE-NH (PWD) Madhya Pradesh,Widening of road to 2-lane with paved shoulder i/c Construction of Bridges & Culvert in km 182 to 266/6 (Design length 81.60km) on NH 59A (INDORE BETUL ROAD) in the state of madhya pradesh on EPC Mode.,,142.2,84.439,57.761,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51483
42,51484,CE-NH (PWD) Madhya Pradesh,construction of sagar bypass from NH-26 to NH-146 (old NH-86ext) in sagar district in the state of madhya pradesh,,103.185,0,103.185,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51484
43,51485,CE-NH (PWD) Madhya Pradesh,construction of 4-lane ROB at km14+800 of NH-26A on katni bina railway line at LC-19 on sagar bina road in the state of madhya pradesh,,5.191,1.691,3.5,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51485
44,51486,CE-NH (PWD) Madhya Pradesh,Construction of chhatarpur bypass from existing km145+200 of NH-86 to existing km30+200 of NH-75 in chhatarpur district in the state of madhya pradesh,,75,0,75,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51486
45,51487,CE-NH (PWD) Madhya Pradesh,construction of Harpalpur bypass starting at km91/8 & ending at km92/10 on NH-76 in the state of madhya pradesh & uttar pradesh,,46.055,0,46.055,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51487
46,51495,(RO Jaipur),land acquisition Somesar R.O.B. C-67 at NH-162E at k.m. 29.065 K.M. TO K.M. 30.793 in the state of rajasthan .,,20,0,20,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51495
47,51518,CE-NH (PWD) Madhya Pradesh,Rehabilitation & upgradation to 2-lane with paved shoulder from km81 to km175 on NH-86ext. sanchi sagar road in the state of madhya pradesh,,180.816,140,40.816,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51518
48,51523,RO MPRDC Bhopal,Rehabilitation & Upgradation of intermediate lane flexible pavement to 2- lane with paved shoulders Rigid pavement on Pachore - Shujalpur Road from km 2+700 to km 33+000 on Pachore to Shujalpur section of newly declared NH-752-C in the State of Madhya Pradesh on EPC Mode Under NH (O),,414.891,192.105,222.786,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51523
49,51532,RO Bhubneswar,Construction of ROB and its approaches in lieu of existing level crossing No RV-168 (Presently RV-172) at Km 176 on NH-201 (New Km 143 on NH-26) in the district of Kalahandi in the state of Odisha,,40,0,40,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51532
50,51542,RO Patna,Acquistion of land respect of National Highway No.81 in the state of bihar on the Stretch from Km 48.950 to Km 49. 000 (Village Khushalpur ) km 52 . 000 to 52.040 ( Village Sakraili ) and Km 52. 040 to 53.000 (Village Lalganj Teghra English ),,4.425,0,4.425,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51542
51,51546,RO Bhubneswar,Construction of ROB and its approaches in lieu of existing level crossing No. RV 71 at Km 435 on NH 217 in the state of Odisha,,10,0,10,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51546
52,51551,RO Patna,Acquistion of land National Highway No. 106 (Birpur- Bihpur Section) From Km. 0.00 to Km. 136.00 in the state of bihar..,,110,67.038,42.962,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51551
53,51554,CE-NH (PWD) Madhya Pradesh,Preparation of Feasibility study and DPR Of widening of road to suitable lane configuration i/e construction of bridge and culverts in km.182 to 266/6 (Total length 84.6 km.) and for Harda-timarni bypass (using study carried out by previous consultant)on NH 59 A in the state of Madhya Pradesh,,81.45,0,81.45,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=51554
54,52568,(RO Jaipur),Rehabilitation & Upgrading to 2 lane/ 2 lane with paved shoulder and strengthening of Lalsot Karauli Section of NH -11B (Km. 00+000 to Km.85+000).,,130,50,80,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=52568
55,53575,RO Bhubneswar,Widening to 2 lane with paved shoulder from Km 0/000 to 41/055 of NH 63 in the state of Odisha,,3.8,0,3.8,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=53575
56,53581,RO MPRDC Bhopal,Detailed Project Report (DPR)/Feasibility for 4 package (2 New declared NH & 2 In Principle NH) in the State of Madhya Pradesh during 2016-2017 (Sanctioned issued under Ministrys letter no. RW/NH-12037/06/2016/Misc/MP/P-5 dated 30.03.2017) - regarding revised technical approval. k.m. 0.000 to 59.900 k.m. ( Tikamgarh to Malhera Road),,208.22,104.72,103.5,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=53581
57,53590,RO MPRDC Bhopal,Detailed Project Report (DPR)/Feasibility for 4 package (2 New declared NH & 2 In Principle NH) in the State of Madhya Pradesh during 2016-2017 (Sanctioned issued under Ministrys letter no. RW/NH-12037/06/2016/Misc/MP/P-5 dated 30.03.2017) - regarding revised technical approval. (Narsinghpur to Shahpura Road) k.m. 0.000 to 51.900 K.m.,,171,76.8,94.2,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=53590
58,53592,RO MPRDC Bhopal,Detailed Project Report (DPR)/Feasibility for 4 package (2 New declared NH & 2 In Principle NH) in the State of Madhya Pradesh during 2016-2017 (Sanctioned issued under Ministrys letter no. RW/NH-12037/06/2016/Misc/MP/P-5 dated 30.03.2017) - regarding revised technical approval. k.m. 0.000 to 58.670 km ( Khategaon Nasrullaganj Koshmi Road),,137.654,36.7,100.954,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=53592
59,53594,RO MPRDC Bhopal,Detailed Project Report (DPR)/Feasibility for 4 package (2 New declared NH & 2 In Principle NH) in the State of Madhya Pradesh during 2016-2017 (Sanctioned issued under Ministrys letter no. RW/NH-12037/06/2016/Misc/MP/P-5 dated 30.03.2017) - regarding revised technical approval. (Ashapur to Harda) Road Km. 0.000 to 71.995 Km.,,210.06,32.01,178.05,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=53594
60,53601,(RO Jaipur),Construction of 4 lane Rohat Bypass NH-65 from Km 0.00 to Km 4.913 (existing chainage Km 344/835 to Km 348/835) in the state of Rajasthan.,,165,0,165,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=53601
61,53603,RO MPRDC Bhopal,Rehabilitation & Up-gradation to 2 lanes with Paved Shoulders of Flexible Pavement (27.56 km) and Rigid Pavement (22.57 km) on Maksudangarh -Sironj section from km 42.510 to km 92.640 & White topping (inside sironj city around which bypass has been proposed in length of km 6.610) section of newly declared NH-752(B) in the state of Madhya Pradesh on EPC Mode under NH(o).,,278.032,204.684,73.348,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=53603
62,53606,RO MPRDC Bhopal,Rehabilitation & Up-gradation of 2 lane flexible pavement to 2 lane with paved shoulders of rigid pavement in km 0+000 to 34+560 on Thikri to Anjad on NH-347B in the state of Madhya Pradesh on EPC mode under NH(O).,,170.013,43.202,126.811,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=53606
63,53614,RO MPRDC Bhopal,Detailed Project Report (DPR)/Feasibility for 4 package (2 New declared NH & 2 In Principle NH) in the State of Madhya Pradesh during 2016-2017 (Sanctioned issued under Ministrys letter no. RW/NH-12037/06/2016/Misc/MP/P-5 dated 30.03.2017) - regarding revised technical approval... Khandwa to Mundi Road Km. 0.000 to 32.329,,94.34,66.21,28.13,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=53614
64,53624,RO Bhubneswar,Widening existing two lane to two lane with paved shoulder from Km 91/100 to Km 125/400 of NH-220 (Saharapada to Dhenkikote excluding Patna bypass) in the state of Odisha.,,1.8,0,1.8,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=53624
65,53625,RO MPRDC Bhopal,Detailed Project Report (DPR)/Feasibility for 4 package (2 New declared NH & 2 In Principle NH) in the State of Madhya Pradesh during 2016-2017 (Sanctioned issued under Ministrys letter no. RW/NH-12037/06/2016/Misc/MP/P-5 dated 30.03.2017) - regarding revised technical approval. K.m. 0.000 to 88.300 k.m. (Seoni to Balaghat Road),,235.439,199.5,35.939,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=53625
66,54634,RO Bhubneswar,Widening of two lane carriageway with 1.5m wide paved shoulder and strengthening from Km 162.01 to 224.90 (Bolangir-Khorda section) of NH-57 in the state of Odisha,,2.064,0.945,1.119,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=54634
67,54635,RO Bhubneswar,Widening the existing lane to two lane paved shoulder from km 239.900 to 294.300 (Nayagarh to Khordha) on NH-57 in the state of Odisha,,22,0,22,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=54635
68,54636,RO Bhubneswar,Construction of ROB (BR-70) with approach near Bolagarh at Km 257/770 on NH-57 (at Rly km 50/050 of Khorda - Bolangir Rail Link Project) in the state of Odisha,,1.463,0,1.463,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=54636
69,54637,RO Bhubneswar,Construction of BY-Pass near Khorda Town on NH-57 in the state of Odisha,,32,0,32,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=54637
70,54638,RO Bhubneswar,Improvement to two lane with paved shoulder from Km 224/900 to 231/900 of NH-57 (Maicheli to Semilisahi) in the state of Odisha,,4.3,0,4.3,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=54638
71,54641,CE-NH (PWD) Punjab,Name of Project:- Rehabilitation and Upgradation of two lanes with paved shoulder from Moga (Design Ch 0+000) to Makhu (Design Ch 33+611) & Harike (Design Ch 44+680) to Khalra (Design Ch 86+236) including construction of ROB at 81-S/2-E at km 32.240 and ROB at LC No: B-53/E-2 at km 59.007 (Project Length=75.167 kms) of NH-703- B in the state of Punjab on EPC Mode,,139.93,138.8,1.13,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=54641
72,54655,RO Raipur,consultancy servces for project manangement Phase - 1 including prepration of detailed project report for upgradation to Two / Four lane with paved shoulder under corridor scheme on EPC basis of NH / CE / PWD / 12 & 13 Ambikapur - Ramanujgang Road & Keonchi Kabir Chabutra road of tentative lenght 125.00 Km in the state of Chhattisgarh,,411,130,281,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=54655
73,54661,RO MPRDC Bhopal,Detailed Project Report (DPR)/ Feasibility study for 4 Package (2 New declared NH & 2 In Principle NH) in the state of Madhya Pradesh during 2016-17 (Sanctioned issued under Ministrys letter no. RW/NH-12037/06/2016/MP/P-5 dated 30.03.2017 )- regarding revised technical approval. Package-3,,1900.96,506.407,1294.553,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=54661
74,54694,RO Patna,construction of ROB at km 31 of NH-81 in lieu of L.C. NO.KK/4A (MANIYAN) in the state of bihar,,1.207,0,1.207,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=54694
75,54715,RO MPRDC Bhopal,Jabalpur â€“ Bhopal Road NH - 12 from KM 103.500 to KM 309.100,,450,150,300,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=54715
76,54722,RO MPRDC Bhopal,Detailed Project Report (DPR)/Feasibility for 4 package (2 New declared NH & 2 In Principle NH) in the State of Madhya Pradesh during 2016-2017 (Sanctioned issued under Ministrys letter no. RW/NH-12037/06/2016/Misc/MP/P-5 dated 30.03.2017) - regarding revised technical approval. NH No. 752 B Khilchipur - jirapur Road,,80.172,1.254,78.918,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=54722
77,54743,RO MPRDC Bhopal,Detailed Project Report (DPR)/Feasibility for 4 package (2 New declared NH & 2 In Principle NH) in the State of Madhya Pradesh during 2016-2017 (Sanctioned issued under Ministrys letter no. RW/NH-12037/06/2016/Misc/MP/P-5 dated 30.03.2017) - regarding revised technical approval. (Pipariya Gadarwara to Kareli Road) K.m. 0.000 to 88.300km.,,260,145.116,114.884,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=54743
78,54756,RO Patna,Construction of ROB and its approaches in replacement of existing Level crossing No:- 62-A/3-E from Km 134+000 to 136+000 0f NH-19 .,,3.119,0.321,2.798,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=54756
79,54759,RO Patna,construction of ROB at Km 49 of NH-131A in lieu of L.C. NO.KB/1B in state of Bihar,,10.62,1.212,9.408,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=54759
80,54775,(RO Dehradun),LOHAGHAT BYPASS FROM KM 136.450 TO km 142.150 OF NH 125,,50,20,30,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=54775
81,54788,CE-NH (PWD) Punjab,Widening to 2-lane with paved shoulder of Maur to Raman Mandi section of NH-254 from km 105.890 to 132.300 in the state of Punjab on EPC mode.,,75.1277,70.8316,4.2961,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=54788
82,54800,RO Patna,construction of ROB at Km 48 of NH-81 in lieu of L.C. NO.KK- 12 in the state of bihar,,2.39,1.051,1.339,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=54800
83,55837,RO MPRDC Bhopal,Detailed Project Report (DPR)/Feasibility for 4 package (2 New declared NH & 2 In Principle NH) in the State of Madhya Pradesh during 2016-2017 (Sanctioned issued under Ministrys letter no. RW/NH-12037/06/2016/Misc/MP/P-5 dated 30.03.2017) - regarding revised technical approval. K.m. 0.000 to 25.243 ( Jirapur to Machalpur Soyatkalan Road),,70.358,58.058,12.3,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=55837
84,55882,(RO Jaipur),Ghatol Bypass : Construction of 2 lane with paved shoulder of Ghatol Bypass on NH 113,,130,0,130,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=55882
85,55911,CE-NH (PWD) Punjab,Rehabilitation and up-gradation to 2-lane/ 4-lane with paved shoulders of Mudki - Jawahar Singh wala section of NH-254 from design chainage 0.00 to 38.00 km in the State of Punjab on EPC mode,,66.225,63.9815,2.2435,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=55911
86,56933,(RO Chennai),Construction of flyover at Km 2/0 - 4/4 & both side widening and construction & improvements of bridges at Km 4/4 and junction improvement of NH-47B (Vadaseri- Oluginaseri),,1.9,0,1.9,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=56933
87,56935,(RO Chennai),Construction of ROB at Km 81.8 in lieu of existing LC No. 109-A/3-T at Railway Km 130.700 of NH-234 in the district of Vellore in the state of Tamil Nadu,,9.7,2.85,6.85,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=56935
88,56939,(RO Chennai),Construction of flyover in Km 634/0 -636/2 of NH-47 in Kottar - Chettikulam including approaches in Tamil Nadu,,10.9,8.405,2.495,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=56939
89,56943,RO Patna,construction of 2-lane combined ROB IN KM 1.10& KM 1.11 On National Highway - 101 at chapra railway crossing in the state of Bihar on EPC mode.,,7,3.803,3.197,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=56943
90,56951,RO Patna,Construction of ROB From KM-89.800 To KM - 91.700 (Bagaha - Rampur) Of NH-28B in District West Champaran in the State of Bihar.,,5.75,4.178,1.572,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=56951
91,56952,RO Patna,Construction of ROB From KM -92.940 To KM - 94.700 (Bagaha - Rampur) Of NH-28B in District West Champaran in the State of Bihar.,,4.4,2.846,1.554,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=56952
92,56976,RO Raipur,Rehabilitation and Up-gradation 2/4 Lane with Paved Shoulders in NH 130 A (Bilaspur-Takhatpur-Mungali-Pandariya-Pondi),,130,75,55,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=56976
93,57017,CE-NH (PWD) Punjab,Rehabilitation & Up gradation to 2 Lane with paved Shoulders of Abohar-Sito-Gunno-Dabwali Road from Km. 0.00 to Km. 50.885 of NH 354E including construction of one High Level Major Steel Bridge on EPC Mode in the State of Punjab,,133.2,129.859,3.341,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57017
94,57039,RO Shimla,Reconstruction to two lanes including geometrical improvement from Km 5/0 to 18/0 (Nagrota Bagwan-Ranital-Mubarikpur Road) on NH 20 A (New NH-303) in the state of Himachal Pradesh.,,2.88,0,2.88,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=57039
