sno,project_id,ro_pd_name,project_name,project_number,land_required_ha,land_available_ha,land_to_be_acquired_ha,url
303,58039,CE-NH (PWD Mahrashtra),Rehabilitation and upgradation of NH-66 (Erstwhile NH-17) from Km 205/400 to km 241/300 (Parshuram Ghat-Arawali Section) to four lane with paved shoulder in the state of Maharashtra under NHDP-IV on Hybrid Annuity mode,,194,85.83,108.17,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58039
304,58040,CE-NH (PWD Mahrashtra),Rehabilitation and upgradation of NH-66 (Erstwhile NH-17) from Km 367/300 to km 406/000 (Talgaon-Kalmath Section) to four lane with paved shoulder in the state of Maharashtra under NHDP-IV on Hybrid Annuity mode,,214.515,123.99,90.525,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58040
305,58043,CE-NH (PWD) Madhya Pradesh,Rehabilitation & Up-gradation of 2 lane flexible pavement to 2 lane with paved shoulders of rigid pavement in km 34+500 to 40+200 on Thikri to Anjad Bypass on NH-347B in the state of Madhya Pradesh on EPC mode under NH(0). (34+500 to 40+200 on Thikri to Anjad Bypass),,24.843,0,24.843,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58043
306,58051,CE-NH (PWD Mahrashtra),Rehabilitation and Up-gradation of Indapur to Wadpale section of NH-17 (New NH no. 66) from Exiting Km. 84/00 to Km. 110/750 in the state of Maharashtra to 4 lanes with paved shoulder under NHDP-IV,,180.68,65.5,115.18,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58051
307,58053,CE-NH (PWD Mahrashtra),Rehabilitation and Up-gradation of Kashedi Ghat section of NH-17 (New NH no. 66) to four lanes with paved shoulders from Exiting Km. 148/00 to Km. 161/600 (Desing Km.149/510 to Km. 158/467) including construction of twin tubes six lanes tunnel through an Engineering Procurement and construction (EPC) contract under NHDP-IV in the state of Maharashtra,,84.67,13.8,70.87,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58053
308,58065,CE-NH (PWD Mahrashtra),Rehabilitation and Up-gradation of NH-66(Old NH-17) from Km. 161/600 to Km. 205/400 (Kashedi - Parshuram Ghat section) to four lane in the state of Maharashtra under NHDP-IV on Hybrid annuty mode,,228.75,101.95,126.8,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58065
309,58068,CE-NH (PWD Mahrashtra),Rehabilitation and Up-gradation of Veer (Wadpale) to Bhogaon Khurd section of NH-17 (New NH no. 66) from Exiting Km. 108/400 to Km. 148/00 in the state of Maharashtra to four lanes with paved shoulder on EPC mode under NHDP-IV,,230.96,118.71,112.25,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58068
310,58074,CE-NH (PEW) Andhra Pradesh,Rehabilitation and upgradation of NH - 42 from Km 76/00 to Km 102/130 ( Design Chainage 76/000 to 99/971 excluding Km 77/300 to 78/350 ) ( Rapthadu to Bathalapalli Section ) to four lane on EPC mode in the state of Andhra Pradesh .,,33.285,0,33.285,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58074
311,58079,CE-NH (PEW) Andhra Pradesh,Construction of proposed 4 - lane ROB and its approaches in lieu of existing level crossing No. 67 at Km. 133/200 ( Railway chainage Km.109/300-400 ) on NH - 205 in the state of Andhra Pradesh,,9.041,0,9.041,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58079
312,58080,CE-NH (PEW) Andhra Pradesh,Construction of proposed 4 - Lane of existing level crossing No.75 at Km. 145/200 (Railway Chainage 121/470 ) on NH-205 in the state of Andhra Pradesh,,9.539,0,9.539,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58080
313,58083,CE-NH (PWD Mahrashtra),Rehablitation nd Up-gradation of Kolha to Nasratpur section of NH-222 (61) from Km 444/000 to Km 463/545 and Km 481/000 to Km 513/990 in the state of Maharashtra to two lanes with paved shoulder on EPC basis under NHDP-IV,,158.65,149.191,9.459,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58083
314,58084,CE-NH (PWD Mahrashtra),Rehablitation and Up-gradation of Nasratpur to Barasgaon from existing Km 514/000 to Km 558/200 (Desing Ch 66+700 Ch. 92+565 and 92+565 to 96+750) of NH-222 to four lanning in the state of Maharashtra with paved shoulder on EPC basis under NHDP-IV,,95.609,86.132,9.477,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58084
315,58086,CE-NH (PWD Mahrashtra),Rehablitation and Up-gradation of Jalkot to Togari section of NH-50 from Km. 65.952 to Km 111.409 (Design Chainage) to two lane with paved shoulder configuration in the state of Maharashtra on EPC mode,,136.731,116.731,20,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58086
316,58087,CE-NH (PWD Mahrashtra),Estimate of rehabilitation and up-gradation of Nanded-Jalkot section of NH-50 from Km. 0.000 to Km. 65.952 (Design Chainage) to two lane with paved shoulder configuration on EPC mode in the State of Maharashtra,,197.85,177.85,20,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58087
317,58089,CE-NH (PWD) Uttar Pradesh,Rehabilitation and upgradation of existing pavement to two lane with paved shoulder from ch. 323.745 to km 351.000 (Balrampur to Tulsipur Section) of NH-730 including two lane paved shoulder with service road on both sides for a cumulative length of 3.292 km and a two lane ROB with service roads on both sides of length 893m including approaches in Balrampur District in the State of Uttar Pradesh,,5,0,5,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58089
318,58090,CE-NH (PWD) West Bengal,"Improvement/ Upgradation of NH-60 to 4-lane from km 316+000 to km 320+800 in the district of Birbhum, West Bengal",,36,0.8,35.2,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58090
319,58091,CE-NH (PWD Mahrashtra),Rehabilitation and up-gradation two lane with paved shoulder configuration of Osman Nagar - Kundral section of NH-161A Design Ch. from Km. 0.000 to Km. 52.730 on EPC mode in the State of Maharashtra,,158.19,145.19,13,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58091
320,58092,CE-NH (PWD) West Bengal,"Construction of Raniganj Bypass of NH-60 from existing Km 273+000 (Bankura border, Mejhia Bridge over Damodar River) to Km 478+180 of NH-2 in the district of Paschim Bardhaman, West Bengal (OLD)",,26.49,0,26.49,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58092
321,58093,CE-NH (PWD Mahrashtra),Rehabilitation and up-gradation of Kundral - Wazar section from Design Chainage from Km. 52.730 to Chainage Km. 99.250 on NH-161A to two lane road paved shoulder on EPC mode in the State of Maharashtra,,139.56,117.56,22,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58093
322,58094,CE-NH (PWD) West Bengal,"Development of newly declared NH-131A from NH-34 (New NH - 12) junction near Malda connecting proposed bridge over river Fulahar from Ch. 0+00Km to 49+05Km in the district of Malda, West Bengal",,52.5,0,52.5,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58094
323,58095,CE-NH (PWD Mahrashtra),Rehabilitation and up-gradation of Barasgaon to Rahatee Bu. (Mah/AP Border) section of NH-222 from existing Km. 558.200 to Km. 615.000 in the State of Maharashtra to two lanes with paved shoulders on EPC basis under NHDP-IV,,187.49,173.55,13.94,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58095
324,58097,CE-NH (PWD Mahrashtra),Rehabilitation and up-gradation to 2 lane road with paved shoulder of Ardhapur to Himayatnagar (Design Chainage Km. 0.00 to Km. 64.700) of NH-752I on EPC mode in the State of Maharashtra,,115.14,98.7,16.44,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58097
325,58099,CE-NH (PWD Mahrashtra),Up-gradation to 2 lane road with paved shoulder of Nanded Kinwat Mahur Arni road Section from Sarsam BR of NH1661A (Chainage Km. 33.000) to Kothari (Ch Km. 90.000) on EPC mode in the State of Maharashtra,,188.06,176.6,11.46,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=58099
