project_code,snapshot_month,sector_name,line_ministry,original_cost_crore,expenditure_crore,days_to_original_deadline,original_deadline_passed,expenditure_to_original_cost_pct,will_schedule_slip_next_3_months
617257,2025-07,Steel,Ministry of Steel,627,88.21,472.0,0,14.068580542264753,0
617269,2025-07,Transmission & Distribution,Ministry of Power,213,0.2,313.0,0,0.09389671361502348,1
617270,2025-07,Transmission & Distribution,Ministry of Power,409,0.2,297.0,0,0.0488997555012225,1
617271,2025-07,Transmission & Distribution,Ministry of Power,343,0.2,213.0,0,0.05830903790087463,1
617272,2025-07,Transmission & Distribution,Ministry of Power,370,1.0,493.0,0,0.2702702702702703,0
617278,2025-07,Coal,Ministry of Coal,630,,1704.0,0,,0
617279,2025-07,Transmission & Distribution,Ministry of Power,558,5.58,856.0,0,1.0,0
617280,2025-07,Construction,Ministry of Mines,255,78.34,396.0,0,30.721568627450978,0
617282,2025-07,Construction,Ministry of Housing & Urban Affairs,647,518.46,-72.0,1,80.13292117465225,1
617284,2025-07,Railways,Ministry of Railways,1424,26.0,974.0,0,1.8258426966292134,0
617287,2025-07,Coal,Ministry of Coal,4517,16.97,1704.0,0,0.37569183086119107,0
617288,2025-07,Coal,Ministry of Coal,383,0.86,1339.0,0,0.22454308093994776,0
617299,2025-07,Electricity Generation,Ministry of Coal,384,303.5,-31.0,1,79.03645833333334,0
617302,2025-07,Oil & Gas,Ministry of Petroleum & Natural Gas,1740,2237.5,-1673.0,1,128.59195402298852,0
617303,2025-07,Oil & Gas,Ministry of Petroleum & Natural Gas,163,95.54,1704.0,0,58.61349693251534,0
617304,2025-07,Oil & Gas,Ministry of Petroleum & Natural Gas,340,88.08,578.0,0,25.905882352941177,0
617322,2025-07,Railways,Ministry of Railways,350,,699.0,0,,0
701091,2025-07,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,3100,0.0,243.0,0,0.0,0
701101,2025-07,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,1217,1046.48,-731.0,1,85.98849630238291,0
701105,2025-07,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,256,130.0,-1330.0,1,50.78125,0
701107,2025-07,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,612,464.55,-1060.0,1,75.90686274509804,0
701113,2025-07,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,2870,302.3,719.0,0,10.533101045296167,0
701121,2025-07,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,347,81.23,14.0,0,23.40922190201729,0
701122,2025-07,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,579,74.3,338.0,0,12.832469775474955,0
701126,2025-07,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,1305,666.42,334.0,0,51.06666666666666,0
701127,2025-07,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,480,254.71,-255.0,1,53.06458333333334,1
701128,2025-07,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,887,312.4,222.0,0,35.219842164599775,0
701167,2025-07,Healthcare,Ministry of Health & Family Welfare,1828,1504.91,-181.0,1,82.32549234135668,0
701171,2025-07,Healthcare,Ministry of Health & Family Welfare,1028,792.24,-1035.0,1,77.06614785992218,0
701173,2025-07,Healthcare,Ministry of Health & Family Welfare,1299,349.41,-885.0,1,26.89838337182448,0
701228,2025-07,Oil & Gas,Ministry of Petroleum & Natural Gas,2915,4431.9,-4595.0,1,152.0377358490566,0
701263,2025-07,Energy Storage,Ministry of Petroleum & Natural Gas,43129,59524.4,-1004.0,1,138.0147928308099,0
701289,2025-07,Oil & Gas,Ministry of Petroleum & Natural Gas,34627,23977.5,-304.0,1,69.2450977560863,1
701324,2025-07,Oil & Gas,Ministry of Petroleum & Natural Gas,14810,11728.0,-823.0,1,79.18973666441593,0
701329,2025-07,Oil & Gas,Ministry of Petroleum & Natural Gas,18936,12190.1,-334.0,1,64.37526404731729,1
701330,2025-07,Oil & Gas,Ministry of Petroleum & Natural Gas,7392,6304.0,-396.0,1,85.28138528138528,0
701338,2025-07,Oil & Gas,Ministry of Petroleum & Natural Gas,5535,3836.09,2138.0,0,69.30605239385727,0
701343,2025-07,Energy Storage,Ministry of Petroleum & Natural Gas,2658,2192.68,-1105.0,1,82.49360421369451,0
701344,2025-07,Oil & Gas,Ministry of Petroleum & Natural Gas,1031,853.7,-997.0,1,82.8031037827352,0
701346,2025-07,Oil & Gas,Ministry of Petroleum & Natural Gas,9265,6375.02,-487.0,1,68.80755531570428,0
701349,2025-07,Energy Storage,Ministry of Petroleum & Natural Gas,10228,9701.95,-369.0,1,94.85676574110286,1
701350,2025-07,Oil & Gas,Ministry of Petroleum & Natural Gas,860,566.18,-223.0,1,65.83488372093022,1
701354,2025-07,Oil & Gas,Ministry of Petroleum & Natural Gas,7844,6495.6,-809.0,1,82.80979092299847,1
701370,2025-07,Water Resources,"Department of Water Resources, River Development & GR",256,0.0,-943.0,1,0.0,1
701371,2025-07,Water Resources,"Department of Water Resources, River Development & GR",691,978.51,-2039.0,1,141.60781476121562,0
701372,2025-07,Water Resources,"Department of Water Resources, River Development & GR",20718,31767.6,-2039.0,1,153.33333333333331,1
701376,2025-07,Water Resources,"Department of Water Resources, River Development & GR",3808,5550.74,-2039.0,1,145.76523109243698,1
701377,2025-07,Water Resources,"Department of Water Resources, River Development & GR",770,1511.22,-2039.0,1,196.26233766233767,1
701383,2025-07,Water Resources,"Department of Water Resources, River Development & GR",1059,1530.36,-2039.0,1,144.5099150141643,0
701386,2025-07,Water Resources,"Department of Water Resources, River Development & GR",7196,13533.3,-2039.0,1,188.06698165647583,1
701391,2025-07,Water Resources,"Department of Water Resources, River Development & GR",210,1697.94,-2039.0,1,808.5428571428572,1
701395,2025-07,Water Resources,"Department of Water Resources, River Development & GR",220,,-762.0,1,,1
701396,2025-07,Water Resources,"Department of Water Resources, River Development & GR",256,1324.78,-2039.0,1,517.4921875,0
701398,2025-07,Water Resources,"Department of Water Resources, River Development & GR",211,623.5,-2039.0,1,295.49763033175356,1
701399,2025-07,Water Resources,"Department of Water Resources, River Development & GR",382,,-943.0,1,,1
701400,2025-07,Water Resources,"Department of Water Resources, River Development & GR",1449,1837.91,-2039.0,1,126.83988957902001,0
701404,2025-07,Water Resources,"Department of Water Resources, River Development & GR",989,2563.56,-2039.0,1,259.2072800808898,1
701405,2025-07,Water Resources,"Department of Water Resources, River Development & GR",8201,4558.89,-2039.0,1,55.58944031215706,0
