project_code,snapshot_month,sector_name,line_ministry,original_cost_crore,expenditure_crore,days_to_original_deadline,original_deadline_passed,expenditure_to_original_cost_pct,will_schedule_slip_next_3_months
617188,2025-08,Electricity Generation,Ministry of Power,9791,,1491.0,0,,0
617200,2025-08,Railways,Ministry of Railways,7854,,2038.0,0,,0
617201,2025-08,Railways,Ministry of Railways,4373,,1682.0,0,,1
617206,2025-08,Urban Public Transport,Ministry of Housing & Urban Affairs,6231,0.29,1220.0,0,0.00465414861177981,0
617207,2025-08,Urban Public Transport,Ministry of Housing & Urban Affairs,8400,5.58,1304.0,0,0.06642857142857142,0
617210,2025-08,Railways,Ministry of Railways,1216,0.0,1308.0,0,0.0,0
617211,2025-08,Railways,Ministry of Railways,2853,43.88,1308.0,0,1.5380301437083772,0
617212,2025-08,Railways,Ministry of Railways,4686,0.0,1308.0,0,0.0,0
617214,2025-08,Railways,Ministry of Railways,2047,0.0,577.0,0,0.0,0
617215,2025-08,Railways,Ministry of Railways,770,0.0,943.0,0,0.0,0
617216,2025-08,Railways,Ministry of Railways,877,2.97,577.0,0,0.33865450399087804,0
617221,2025-08,Education,Department of Higher Education,211,,763.0,0,,0
617224,2025-08,Railways,Ministry of Railways,1120,204.59,851.0,0,18.266964285714284,0
617225,2025-08,Urban Public Transport,Ministry of Housing & Urban Affairs,910,119.88,518.0,0,13.173626373626373,0
617226,2025-08,Urban Public Transport,Ministry of Housing & Urban Affairs,2955,19.61,1281.0,0,0.6636209813874788,0
617233,2025-08,Coal,Ministry of Coal,379,,1673.0,0,,0
617242,2025-08,Steel,Ministry of Steel,2115,209.11,668.0,0,9.886997635933808,0
617243,2025-08,Steel,Ministry of Steel,199,10.9,332.0,0,5.477386934673367,0
617246,2025-08,Steel,Ministry of Steel,758,63.81,280.0,0,8.41820580474934,0
617248,2025-08,Steel,Ministry of Steel,228,16.24,320.0,0,7.122807017543859,0
617249,2025-08,Steel,Ministry of Steel,212,15.04,514.0,0,7.094339622641509,0
617250,2025-08,Steel,Ministry of Steel,207,15.76,420.0,0,7.613526570048309,0
617251,2025-08,Steel,Ministry of Steel,196,0.19,269.0,0,0.09693877551020408,0
617252,2025-08,Railways,Ministry of Railways,958,436.95,933.0,0,45.61064718162839,0
617253,2025-08,Steel,Ministry of Steel,514,234.54,-59.0,1,45.63035019455253,0
617254,2025-08,Steel,Ministry of Steel,260,44.25,302.0,0,17.01923076923077,0
617255,2025-08,Steel,Ministry of Steel,472,130.66,287.0,0,27.682203389830505,0
617256,2025-08,Steel,Ministry of Steel,884,466.31,61.0,0,52.75,1
617257,2025-08,Steel,Ministry of Steel,627,91.96,441.0,0,14.666666666666666,0
617269,2025-08,Transmission & Distribution,Ministry of Power,213,0.2,282.0,0,0.09389671361502348,1
617270,2025-08,Transmission & Distribution,Ministry of Power,409,0.3,266.0,0,0.07334963325183373,1
617271,2025-08,Transmission & Distribution,Ministry of Power,343,0.6,182.0,0,0.1749271137026239,1
617272,2025-08,Transmission & Distribution,Ministry of Power,370,3.7,462.0,0,1.0,0
617278,2025-08,Coal,Ministry of Coal,630,,1673.0,0,,0
617279,2025-08,Transmission & Distribution,Ministry of Power,558,16.74,825.0,0,3.0,0
617280,2025-08,Construction,Ministry of Mines,255,79.34,365.0,0,31.11372549019608,0
617282,2025-08,Construction,Ministry of Housing & Urban Affairs,647,533.12,-103.0,1,82.39876352395672,1
617284,2025-08,Railways,Ministry of Railways,1424,49.57,943.0,0,3.481039325842697,0
617287,2025-08,Coal,Ministry of Coal,4517,16.97,1673.0,0,0.37569183086119107,0
617288,2025-08,Coal,Ministry of Coal,383,0.86,1308.0,0,0.22454308093994776,0
617299,2025-08,Electricity Generation,Ministry of Coal,384,303.5,-62.0,1,79.03645833333334,0
617302,2025-08,Oil & Gas,Ministry of Petroleum & Natural Gas,1740,2239.7,-1704.0,1,128.71839080459768,0
617304,2025-08,Oil & Gas,Ministry of Petroleum & Natural Gas,340,91.32,547.0,0,26.85882352941176,0
701091,2025-08,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,3100,16024.4,212.0,0,516.916129032258,0
701101,2025-08,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,1217,1096.51,-762.0,1,90.09942481511915,0
701105,2025-08,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,256,130.0,-1361.0,1,50.78125,1
701107,2025-08,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,612,473.27,-1091.0,1,77.33169934640523,1
701113,2025-08,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,2870,322.98,688.0,0,11.253658536585366,0
701121,2025-08,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,347,90.56,-17.0,1,26.09798270893372,1
701122,2025-08,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,579,76.88,307.0,0,13.278065630397236,0
701126,2025-08,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,1305,1348.78,303.0,0,103.35478927203066,0
701127,2025-08,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,480,281.72,-286.0,1,58.69166666666668,1
701128,2025-08,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,887,352.82,191.0,0,39.77677564825254,0
701167,2025-08,Healthcare,Ministry of Health & Family Welfare,1828,1531.86,-212.0,1,83.79978118161925,1
701171,2025-08,Healthcare,Ministry of Health & Family Welfare,1028,812.95,-1066.0,1,79.0807392996109,1
701173,2025-08,Healthcare,Ministry of Health & Family Welfare,1299,349.41,-916.0,1,26.89838337182448,0
701228,2025-08,Oil & Gas,Ministry of Petroleum & Natural Gas,2915,4453.29,-4626.0,1,152.77152658662092,0
701263,2025-08,Energy Storage,Ministry of Petroleum & Natural Gas,43129,60295.1,-1035.0,1,139.80175751814323,0
701289,2025-08,Oil & Gas,Ministry of Petroleum & Natural Gas,34627,24355.1,-335.0,1,70.33557628440235,1
701324,2025-08,Oil & Gas,Ministry of Petroleum & Natural Gas,14810,11880.7,-854.0,1,80.22079675894666,0
701329,2025-08,Oil & Gas,Ministry of Petroleum & Natural Gas,18936,12327.9,-365.0,1,65.10297845373891,1
701330,2025-08,Oil & Gas,Ministry of Petroleum & Natural Gas,7392,6308.0,-427.0,1,85.33549783549783,0
701338,2025-08,Oil & Gas,Ministry of Petroleum & Natural Gas,5535,3861.49,2107.0,0,69.76495031616983,0
701343,2025-08,Energy Storage,Ministry of Petroleum & Natural Gas,2658,2203.98,-1136.0,1,82.91873589164786,0
701344,2025-08,Oil & Gas,Ministry of Petroleum & Natural Gas,1031,854.6,-1028.0,1,82.89039767216295,0
701346,2025-08,Oil & Gas,Ministry of Petroleum & Natural Gas,9265,6393.85,-518.0,1,69.01079330814895,0
701349,2025-08,Energy Storage,Ministry of Petroleum & Natural Gas,10228,9766.72,-400.0,1,95.49002737583105,1
701350,2025-08,Oil & Gas,Ministry of Petroleum & Natural Gas,860,584.76,-254.0,1,67.9953488372093,1
701354,2025-08,Oil & Gas,Ministry of Petroleum & Natural Gas,7844,6495.6,-840.0,1,82.80979092299847,1
701370,2025-08,Water Resources,"Department of Water Resources, River Development & GR",256,0.0,-974.0,1,0.0,0
701372,2025-08,Water Resources,"Department of Water Resources, River Development & GR",20718,31767.6,-2070.0,1,153.33333333333331,1
701376,2025-08,Water Resources,"Department of Water Resources, River Development & GR",3808,5561.97,-2070.0,1,146.06013655462183,0
701377,2025-08,Water Resources,"Department of Water Resources, River Development & GR",770,1511.22,-2070.0,1,196.26233766233767,1
701383,2025-08,Water Resources,"Department of Water Resources, River Development & GR",1059,1530.45,-2070.0,1,144.5184135977337,0
701386,2025-08,Water Resources,"Department of Water Resources, River Development & GR",7196,13533.3,-2070.0,1,188.06698165647583,1
701391,2025-08,Water Resources,"Department of Water Resources, River Development & GR",210,1697.94,-2070.0,1,808.5428571428572,0
701395,2025-08,Water Resources,"Department of Water Resources, River Development & GR",220,,122.0,0,,0
701396,2025-08,Water Resources,"Department of Water Resources, River Development & GR",256,1324.78,-2070.0,1,517.4921875,0
701398,2025-08,Water Resources,"Department of Water Resources, River Development & GR",211,623.5,-2070.0,1,295.49763033175356,0
701399,2025-08,Water Resources,"Department of Water Resources, River Development & GR",382,,122.0,0,,0
701400,2025-08,Water Resources,"Department of Water Resources, River Development & GR",1449,1837.91,-2070.0,1,126.83988957902001,0
701404,2025-08,Water Resources,"Department of Water Resources, River Development & GR",989,2563.56,-2070.0,1,259.2072800808898,1
701405,2025-08,Water Resources,"Department of Water Resources, River Development & GR",8201,4558.89,-2070.0,1,55.58944031215706,0
701406,2025-08,Water Resources,"Department of Water Resources, River Development & GR",1402,1839.76,-2070.0,1,131.22396576319545,0
701408,2025-08,Water Resources,"Department of Water Resources, River Development & GR",1061,4415.24,-2070.0,1,416.1394910461828,0
701410,2025-08,Water Resources,"Department of Water Resources, River Development & GR",1441,3000.36,-1523.0,1,208.21374045801528,0
701411,2025-08,Water Resources,"Department of Water Resources, River Development & GR",2286,2072.33,-1158.0,1,90.65310586176729,0
701412,2025-08,Water Resources,"Department of Water Resources, River Development & GR",1622,142.1,-1614.0,1,8.76078914919852,0
701415,2025-08,Water Resources,"Department of Water Resources, River Development & GR",10151,24347.8,-1219.0,1,239.8561718057334,0
701565,2025-08,Inland Waterways,"Ministry of Ports, Shipping and Waterways",5369,3510.72,-609.0,1,65.38871298193331,0
701574,2025-08,Shipping,"Ministry of Ports, Shipping and Waterways",3005,1149.79,852.0,0,38.26256239600666,0
701576,2025-08,Shipping,"Ministry of Ports, Shipping and Waterways",298,420.0,30.0,0,140.93959731543623,0
701577,2025-08,Shipping,"Ministry of Ports, Shipping and Waterways",254,9.28,0.0,0,3.653543307086614,0
701586,2025-08,Shipping,"Ministry of Ports, Shipping and Waterways",900,65.0,437.0,0,7.222222222222221,0
701593,2025-08,Telecommunication,Department of Telecommunications,28466,8390.32,-518.0,1,29.4748823157451,0
701597,2025-08,Telecommunication,Department of Telecommunications,1255,284.04,-854.0,1,22.632669322709166,1
701598,2025-08,Telecommunication,Department of Telecommunications,972,208.25,-1277.0,1,21.424897119341562,1
701599,2025-08,Telecommunication,Department of Telecommunications,1578,598.31,-884.0,1,37.91571609632446,1
701600,2025-08,Telecommunication,Department of Telecommunications,337,227.82,-1404.0,1,67.60237388724035,0
701602,2025-08,Telecommunication,Department of Telecommunications,3685,1101.44,-651.0,1,29.889823609226596,1
701657,2025-08,Real Estate,Department for Promotion of Industry & Internal Trade,1702,88.25,386.0,0,5.185076380728555,0
701658,2025-08,Real Estate,Department for Promotion of Industry & Internal Trade,2139,406.05,898.0,0,18.983169705469845,0
701719,2025-08,Real Estate,Ministry of Housing & Urban Affairs,539,39.63,-1151.0,1,7.3525046382189245,0
701745,2025-08,Urban Public Transport,Ministry of Housing & Urban Affairs,263,17.62,-1127.0,1,6.699619771863118,0
701766,2025-08,Real Estate,Ministry of Housing & Urban Affairs,151,18.95,-647.0,1,12.549668874172184,0
701991,2025-08,Urban Public Transport,Ministry of Housing & Urban Affairs,600,272.42,-762.0,1,45.403333333333336,0
702355,2025-08,Waste & Water,Ministry of Housing & Urban Affairs,210,,-529.0,1,,0
702625,2025-08,Urban Public Transport,Ministry of Housing & Urban Affairs,6941,3164.15,-1006.0,1,45.586370839936606,0
702626,2025-08,Urban Public Transport,Ministry of Housing & Urban Affairs,7501,3931.4,-1006.0,1,52.41167844287429,0
702627,2025-08,Urban Public Transport,Ministry of Housing & Urban Affairs,13366,4039.77,-552.0,1,30.22422564716445,0
702628,2025-08,Urban Public Transport,Ministry of Housing & Urban Affairs,11076,9083.27,-462.0,1,82.00857710364753,0
702629,2025-08,Urban Public Transport,Ministry of Housing & Urban Affairs,8380,6057.62,-462.0,1,72.28663484486873,0
702630,2025-08,Urban Public Transport,Ministry of Housing & Urban Affairs,12020,7595.47,-518.0,1,63.19026622296173,0
702631,2025-08,Urban Public Transport,Ministry of Housing & Urban Affairs,5384,4180.43,-518.0,1,77.64543090638931,0
702632,2025-08,Urban Public Transport,Ministry of Housing & Urban Affairs,24949,15785.4,-153.0,1,63.2706721712293,0
702633,2025-08,Urban Public Transport,Ministry of Housing & Urban Affairs,30274,26325.7,-62.0,1,86.95811587500826,1
702635,2025-08,Urban Public Transport,Ministry of Housing & Urban Affairs,26405,29478.0,-1623.0,1,111.63794735845485,0
702637,2025-08,Urban Public Transport,Ministry of Housing & Urban Affairs,23136,27519.1,-884.0,1,118.94493430152141,0
702639,2025-08,Urban Public Transport,Ministry of Housing & Urban Affairs,10773,12174.4,-2710.0,1,113.00844704353477,1
702658,2025-08,Urban Public Transport,Ministry of Housing & Urban Affairs,6708,1045.32,852.0,0,15.583184257602861,0
702664,2025-08,Urban Public Transport,Ministry of Housing & Urban Affairs,1957,329.94,446.0,0,16.85947879407256,0
702665,2025-08,Urban Public Transport,Ministry of Housing & Urban Affairs,14788,8424.54,303.0,0,56.96875845279957,0
702668,2025-08,Inland Waterways,Ministry of Housing & Urban Affairs,63246,26410.2,1461.0,0,41.75789773266293,0
702674,2025-08,Waste & Water,Ministry of Housing & Urban Affairs,172,622.02,-884.0,1,361.6395348837209,1
702682,2025-08,Waste & Water,Ministry of Housing & Urban Affairs,187,1291.55,-884.0,1,690.6684491978609,0
702699,2025-08,Waste & Water,Ministry of Housing & Urban Affairs,159,48.61,-670.0,1,30.572327044025155,1
702734,2025-08,Waste & Water,Ministry of Housing & Urban Affairs,278,1548.15,-701.0,1,556.8884892086331,0
702735,2025-08,Waste & Water,Ministry of Housing & Urban Affairs,213,1069.74,-884.0,1,502.22535211267603,1
702741,2025-08,Waste & Water,Ministry of Housing & Urban Affairs,217,696.48,-884.0,1,320.95852534562215,0
702742,2025-08,Waste & Water,Ministry of Housing & Urban Affairs,159,612.5,-670.0,1,385.2201257861635,0
702746,2025-08,Waste & Water,Ministry of Housing & Urban Affairs,278,1223.5,-884.0,1,440.1079136690647,0
702760,2025-08,Waste & Water,Ministry of Housing & Urban Affairs,163,562.71,-762.0,1,345.22085889570553,0
702764,2025-08,Waste & Water,Ministry of Housing & Urban Affairs,175,715.56,-884.0,1,408.8914285714285,0
702793,2025-08,Waste & Water,Ministry of Housing & Urban Affairs,287,1766.0,-884.0,1,615.3310104529617,0
702798,2025-08,Waste & Water,Ministry of Housing & Urban Affairs,362,2264.18,-884.0,1,625.46408839779,0
702808,2025-08,Waste & Water,Ministry of Housing & Urban Affairs,192,501.71,-518.0,1,261.30729166666663,0
702810,2025-08,Waste & Water,Ministry of Housing & Urban Affairs,402,2424.71,-884.0,1,603.1616915422885,0
702833,2025-08,Waste & Water,Ministry of Housing & Urban Affairs,194,375.32,-670.0,1,193.46391752577318,0
702840,2025-08,Waste & Water,Ministry of Housing & Urban Affairs,205,581.09,-884.0,1,283.45853658536583,0
702842,2025-08,Waste & Water,Ministry of Housing & Urban Affairs,274,266.11,-884.0,1,97.12043795620438,1
702851,2025-08,Waste & Water,Ministry of Housing & Urban Affairs,236,614.06,-884.0,1,260.1949152542373,0
702854,2025-08,Waste & Water,Ministry of Housing & Urban Affairs,180,476.83,-884.0,1,264.90555555555557,0
702948,2025-08,Waste & Water,Ministry of Housing & Urban Affairs,236,166.0,-793.0,1,70.33898305084746,0
702949,2025-08,Waste & Water,Ministry of Housing & Urban Affairs,562,523.15,-762.0,1,93.08718861209964,1
703021,2025-08,Waste & Water,Ministry of Housing & Urban Affairs,259,161.02,-734.0,1,62.16988416988417,0
703057,2025-08,Waste & Water,Ministry of Housing & Urban Affairs,287,451.94,-670.0,1,157.47038327526133,0
703585,2025-08,Railways,Ministry of Railways,314,151.11,-518.0,1,48.12420382165605,1
703586,2025-08,Railways,Ministry of Railways,499,595.0,-243.0,1,119.2384769539078,1
704495,2025-08,Telecommunication,Department of Telecommunications,422,134.08,-1264.0,1,31.772511848341235,0
705237,2025-08,Railways,Ministry of Railways,51101,124623.0,-1249.0,1,243.87585370149313,0
705244,2025-08,Railways,Ministry of Railways,520,192.25,-1339.0,1,36.97115384615385,0
705252,2025-08,Railways,Ministry of Railways,385,0.0,-639.0,1,0.0,0
705253,2025-08,Railways,Ministry of Railways,563,120.0,-1734.0,1,21.314387211367674,0
705298,2025-08,Railways,Ministry of Railways,274,0.0,-518.0,1,0.0,0
705300,2025-08,Railways,Ministry of Railways,228,0.0,-609.0,1,0.0,0
705356,2025-08,Railways,Ministry of Railways,2539,4975.74,212.0,0,195.97243009058684,0
705357,2025-08,Railways,Ministry of Railways,138,735.33,577.0,0,532.8478260869565,0
705358,2025-08,Railways,Ministry of Railways,3792,5027.62,487.0,0,132.58491561181432,0
705359,2025-08,Railways,Ministry of Railways,1928,1934.28,-153.0,1,100.32572614107885,0
705362,2025-08,Railways,Ministry of Railways,819,580.6,-1249.0,1,70.8913308913309,0
705364,2025-08,Railways,Ministry of Railways,614,484.29,-243.0,1,78.87459283387622,0
705366,2025-08,Railways,Ministry of Railways,2067,1968.45,-1979.0,1,95.2322206095791,0
705368,2025-08,Railways,Ministry of Railways,1605,1490.2,-518.0,1,92.84735202492213,0
705373,2025-08,Railways,Ministry of Railways,1473,2522.41,-884.0,1,171.24304141208418,0
705375,2025-08,Railways,Ministry of Railways,1626,2000.4,-184.0,1,123.02583025830258,0
705385,2025-08,Railways,Ministry of Railways,2555,767.04,943.0,0,30.021135029354205,0
705391,2025-08,Railways,Ministry of Railways,14323,15598.1,487.0,0,108.90246456747887,0
705392,2025-08,Railways,Ministry of Railways,6663,5312.26,-158.0,1,79.72775026264446,0
705401,2025-08,Railways,Ministry of Railways,435,901.0,-153.0,1,207.12643678160921,1
705410,2025-08,Railways,Ministry of Railways,2018,2053.9,122.0,0,101.77898909811695,1
705419,2025-08,Railways,Ministry of Railways,2913,2097.51,-153.0,1,72.00514933058703,0
705424,2025-08,Railways,Ministry of Railways,1540,506.73,487.0,0,32.904545454545456,0
705428,2025-08,Railways,Ministry of Railways,13447,6805.81,487.0,0,50.61210678961851,0
705429,2025-08,Railways,Ministry of Railways,38953,24645.2,122.0,0,63.269067850999924,0
705432,2025-08,Railways,Ministry of Railways,7877,9039.91,-3745.0,1,114.76336168592103,0
705433,2025-08,Railways,Ministry of Railways,1628,1440.85,30.0,0,88.50429975429975,0
705434,2025-08,Railways,Ministry of Railways,2565,2073.98,-2345.0,1,80.8569200779727,0
705436,2025-08,Railways,Ministry of Railways,2501,1303.41,943.0,0,52.11555377848861,0
705437,2025-08,Railways,Ministry of Railways,1160,1771.32,577.0,0,152.7,0
705444,2025-08,Railways,Ministry of Railways,4970,4346.55,-1249.0,1,87.45573440643864,0
705450,2025-08,Railways,Ministry of Railways,402,367.54,-1249.0,1,91.42786069651741,0
705453,2025-08,Railways,Ministry of Railways,456,3412.33,546.0,0,748.3179824561403,0
705454,2025-08,Railways,Ministry of Railways,1794,1804.05,118.0,0,100.56020066889633,0
705457,2025-08,Railways,Ministry of Railways,1656,4428.77,577.0,0,267.43780193236717,0
705458,2025-08,Railways,Ministry of Railways,484,620.98,-1614.0,1,128.301652892562,0
705479,2025-08,Railways,Ministry of Railways,1886,925.28,577.0,0,49.060445387062565,0
705480,2025-08,Railways,Ministry of Railways,8914,5013.49,577.0,0,56.242876374242755,0
705481,2025-08,Railways,Ministry of Railways,3032,3621.79,116.0,0,119.45217678100263,0
705482,2025-08,Railways,Ministry of Railways,747,355.13,-2376.0,1,47.54082998661312,0
705490,2025-08,Railways,Ministry of Railways,2842,1735.22,577.0,0,61.056298381421534,0
705491,2025-08,Railways,Ministry of Railways,297,123.38,303.0,0,41.54208754208754,0
705492,2025-08,Railways,Ministry of Railways,825,788.13,-62.0,1,95.53090909090909,0
705494,2025-08,Railways,Ministry of Railways,2496,1706.31,-3623.0,1,68.36177884615384,0
705495,2025-08,Railways,Ministry of Railways,1378,683.48,577.0,0,49.59941944847605,0
705496,2025-08,Railways,Ministry of Railways,1876,523.07,-2345.0,1,27.882196162046913,0
705498,2025-08,Railways,Ministry of Railways,793,899.47,487.0,0,113.42622950819671,0
705500,2025-08,Railways,Ministry of Railways,540,754.27,122.0,0,139.67962962962963,0
705502,2025-08,Railways,Ministry of Railways,1385,1655.88,122.0,0,119.55812274368232,0
705503,2025-08,Railways,Ministry of Railways,4028,4833.04,-184.0,1,119.98609731876861,0
705504,2025-08,Railways,Ministry of Railways,2081,2816.46,92.0,0,135.34166266218165,0
705505,2025-08,Railways,Ministry of Railways,638,983.16,122.0,0,154.10031347962382,0
705506,2025-08,Railways,Ministry of Railways,1035,1726.94,-243.0,1,166.85410628019324,0
705507,2025-08,Railways,Ministry of Railways,2450,1843.76,577.0,0,75.25551020408163,1
705510,2025-08,Railways,Ministry of Railways,1284,1298.0,-274.0,1,101.09034267912773,0
705511,2025-08,Railways,Ministry of Railways,1547,1323.05,-518.0,1,85.52359405300581,0
705512,2025-08,Railways,Ministry of Railways,2500,1987.17,-1249.0,1,79.4868,0
705513,2025-08,Railways,Ministry of Railways,2362,1798.71,822.0,0,76.1519898391194,0
705514,2025-08,Railways,Ministry of Railways,1000,401.61,-2483.0,1,40.161,0
705515,2025-08,Railways,Ministry of Railways,1173,1971.0,212.0,0,168.03069053708438,0
705520,2025-08,Railways,Ministry of Railways,4803,2979.23,-153.0,1,62.02852383926712,0
705526,2025-08,Railways,Ministry of Railways,519,344.23,-153.0,1,66.32562620423893,0
705527,2025-08,Railways,Ministry of Railways,1216,2044.54,115.0,0,168.13651315789474,0
705528,2025-08,Railways,Ministry of Railways,1586,1463.45,-427.0,1,92.27301387137453,1
705562,2025-08,Railways,Ministry of Railways,963,911.66,-187.0,1,94.66874350986501,1
705566,2025-08,Railways,Ministry of Railways,351,495.86,-211.0,1,141.27065527065528,0
705567,2025-08,Railways,Ministry of Railways,1016,1373.8,-159.0,1,135.21653543307087,1
705572,2025-08,Railways,Ministry of Railways,4060,3683.75,212.0,0,90.73275862068965,0
705583,2025-08,Railways,Ministry of Railways,667,285.44,-884.0,1,42.79460269865068,0
705588,2025-08,Railways,Ministry of Railways,722,1550.0,-153.0,1,214.68144044321332,0
705598,2025-08,Railways,Ministry of Railways,2002,1795.86,-1249.0,1,89.7032967032967,0
705608,2025-08,Railways,Ministry of Railways,4330,2184.56,212.0,0,50.45173210161663,0
705610,2025-08,Railways,Ministry of Railways,302,381.0,122.0,0,126.15894039735099,0
705612,2025-08,Railways,Ministry of Railways,1953,3073.74,-184.0,1,157.38556067588326,0
705613,2025-08,Railways,Ministry of Railways,2595,3223.67,-212.0,1,124.22620423892101,0
705616,2025-08,Railways,Ministry of Railways,2140,2143.64,-304.0,1,100.17009345794392,1
705617,2025-08,Railways,Ministry of Railways,3545,3428.26,-243.0,1,96.70691114245416,0
705628,2025-08,Railways,Ministry of Railways,3029,2470.12,-62.0,1,81.54902608121492,0
705629,2025-08,Railways,Ministry of Railways,2400,2236.9,122.0,0,93.20416666666667,0
705632,2025-08,Railways,Ministry of Railways,647,888.91,-231.0,1,137.38948995363214,0
705633,2025-08,Railways,Ministry of Railways,3733,4213.01,122.0,0,112.85855879989286,0
705635,2025-08,Railways,Ministry of Railways,1432,2451.0,-518.0,1,171.159217877095,0
705638,2025-08,Railways,Ministry of Railways,813,292.15,577.0,0,35.93480934809348,0
705639,2025-08,Railways,Ministry of Railways,601,283.0,943.0,0,47.088186356073216,0
705648,2025-08,Railways,Ministry of Railways,6654,5922.0,-274.0,1,88.99909828674481,0
705650,2025-08,Railways,Ministry of Railways,5060,5007.82,577.0,0,98.9687747035573,0
705651,2025-08,Railways,Ministry of Railways,2478,3301.89,-1249.0,1,133.24818401937046,0
705659,2025-08,Railways,Ministry of Railways,500,561.38,212.0,0,112.276,0
705660,2025-08,Railways,Ministry of Railways,2445,3201.67,117.0,0,130.94764826175867,0
705661,2025-08,Railways,Ministry of Railways,1248,1587.21,-335.0,1,127.18028846153845,0
705662,2025-08,Railways,Ministry of Railways,1878,2642.04,-243.0,1,140.68370607028754,0
705663,2025-08,Railways,Ministry of Railways,493,252.45,181.0,0,51.206896551724135,0
705667,2025-08,Railways,Ministry of Railways,5961,4928.62,-243.0,1,82.68109377621204,0
705668,2025-08,Railways,Ministry of Railways,3250,3176.46,-153.0,1,97.73723076923076,0
705694,2025-08,Railways,Ministry of Railways,188,141.91,-609.0,1,75.48404255319149,0
705708,2025-08,Railways,Ministry of Railways,176,,-518.0,1,,0
705710,2025-08,Railways,Ministry of Railways,336,74.32,-517.0,1,22.119047619047617,0
705712,2025-08,Railways,Ministry of Railways,480,0.33,-427.0,1,0.06875,0
705717,2025-08,Railways,Ministry of Railways,440,390.03,-609.0,1,88.64318181818182,0
705720,2025-08,Railways,Ministry of Railways,384,,-517.0,1,,0
705721,2025-08,Railways,Ministry of Railways,448,,-243.0,1,,1
705722,2025-08,Railways,Ministry of Railways,210,0.02,-427.0,1,0.009523809523809525,0
705726,2025-08,Railways,Ministry of Railways,6339,4166.47,-183.0,1,65.72755955197981,0
705728,2025-08,Railways,Ministry of Railways,108000,79918.9,730.0,0,73.99898148148148,0
705730,2025-08,Railways,Ministry of Railways,4835,4373.24,487.0,0,90.44963805584281,1
705735,2025-08,Railways,Ministry of Railways,905,1127.14,577.0,0,124.54585635359116,0
705741,2025-08,Railways,Ministry of Railways,748,10.56,1065.0,0,1.411764705882353,0
705742,2025-08,Railways,Ministry of Railways,2344,225.84,2891.0,0,9.63481228668942,0
705752,2025-08,Railways,Ministry of Railways,819,471.0,456.0,0,57.509157509157504,0
705761,2025-08,Railways,Ministry of Railways,1454,69.82,822.0,0,4.801925722145804,0
705763,2025-08,Railways,Ministry of Railways,7474,1685.25,1856.0,0,22.54816697886005,0
705764,2025-08,Railways,Ministry of Railways,495,79.55,212.0,0,16.070707070707073,0
705765,2025-08,Railways,Ministry of Railways,686,538.66,207.0,0,78.52186588921283,0
705766,2025-08,Railways,Ministry of Railways,304,220.8,-243.0,1,72.63157894736842,1
705771,2025-08,Railways,Ministry of Railways,494,333.0,212.0,0,67.4089068825911,0
705772,2025-08,Railways,Ministry of Railways,2649,1561.89,487.0,0,58.96149490373727,0
705774,2025-08,Railways,Ministry of Railways,758,315.37,-212.0,1,41.605540897097626,0
705777,2025-08,Railways,Ministry of Railways,250,113.94,181.0,0,45.576,0
705779,2025-08,Railways,Ministry of Railways,1178,1489.5,-243.0,1,126.44312393887947,0
705780,2025-08,Railways,Ministry of Railways,2529,2051.69,-243.0,1,81.12653222617635,1
705782,2025-08,Railways,Ministry of Railways,407,317.0,-153.0,1,77.88697788697789,0
705783,2025-08,Railways,Ministry of Railways,238,118.0,-153.0,1,49.57983193277311,0
705784,2025-08,Railways,Ministry of Railways,357,579.0,-153.0,1,162.18487394957984,0
705785,2025-08,Railways,Ministry of Railways,473,284.34,303.0,0,60.11416490486258,0
705789,2025-08,Railways,Ministry of Railways,308,270.52,212.0,0,87.83116883116882,0
705793,2025-08,Railways,Ministry of Railways,6806,135.65,-518.0,1,1.9930943285336469,0
705794,2025-08,Railways,Ministry of Railways,6685,127.03,-518.0,1,1.900224382946896,0
705799,2025-08,Railways,Ministry of Railways,1400,1472.0,122.0,0,105.14285714285714,0
705863,2025-08,Railways,Ministry of Railways,950,511.18,-31.0,1,53.80842105263158,0
705912,2025-08,Railways,Ministry of Railways,1204,46.07,577.0,0,3.8264119601328903,0
705919,2025-08,Railways,Ministry of Railways,1390,123.0,668.0,0,8.848920863309353,0
705933,2025-08,Railways,Ministry of Railways,1096,1067.49,791.0,0,97.39872262773723,0
706718,2025-08,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,499,154.43,-414.0,1,30.947895791583168,0
706724,2025-08,Aviation & Aviation Infrastructure,Ministry of Civil Aviation,1712,2335.44,-153.0,1,136.4158878504673,0
706757,2025-08,Railways,Ministry of Railways,262,203.0,-153.0,1,77.48091603053436,0
