model,mean_accuracy,mean_balanced_accuracy,mean_precision,mean_recall,mean_f1,mean_roc_auc,std_accuracy,std_balanced_accuracy,std_precision,std_recall,std_f1,std_roc_auc
Logistic Regression,0.6190290634751514,0.5908165102524332,0.28259870800994724,0.5423645320197045,0.3708948124043071,0.6303288432753769,0.017471385132463515,0.024154631463343762,0.017833296243047594,0.06481195985952491,0.02886653928894208,0.033532248817280105
Random Forest,0.7105648781603092,0.5568184070581388,0.3017126393354265,0.29313369630973984,0.289781753988931,0.6123944932409822,0.025507554516967526,0.022682960806790355,0.025337420750113877,0.09341843183907661,0.045643303899948424,0.059358992113053406
Gradient Boosting,0.7721409794394581,0.5213397842876519,0.4018228647913805,0.09167746953590873,0.13815430520034097,0.5961139764920589,0.017465180939060795,0.005601647236621098,0.14638987526289363,0.038028285777156126,0.04362443125721401,0.07312237105197826
